ISOCode;Code;NameDE;NameEN
DE-BW;BW;Baden-Württemberg;Baden-Württemberg
DE-BY;BY;Bayern;Bavaria
DE-BE;BE;Berlin;Berlin
DE-BB;BB;Brandenburg;Brandenburg
DE-HB;HB;Bremen;Bremen
DE-HH;HH;Hamburg;Hamburg
DE-HE;HE;Hessen;Hesse
DE-MV;MV;Mecklenburg-Vorpommern;Mecklenburg-Western Pomerania
DE-NI;NI;Niedersachsen;Lower Saxony
DE-NW;NW;Nordrhein-Westfalen;North Rhine-Westphalia
DE-RP;RP;Rheinland-Pfalz;Rhineland-Palatinate
DE-SL;SL;Saarland;Saarland
DE-SN;SN;Sachsen;Saxony
DE-ST;ST;Sachsen-Anhalt;Saxony-Anhalt
DE-SH;SH;Schleswig-Holstein;Schleswig-Holstein
DE-TH;TH;Thüringen;Thuringia
DE-DE;DE;Deutschland;Germany
