Week,"rossmann",dm
2013-01-06 - 2013-01-12,74,40
2013-01-13 - 2013-01-19,58,35
2013-01-20 - 2013-01-26,62,41
2013-01-27 - 2013-02-02,60,39
2013-02-03 - 2013-02-09,66,34
2013-02-10 - 2013-02-16,52,28
2013-02-17 - 2013-02-23,69,37
2013-02-24 - 2013-03-02,54,39
2013-03-03 - 2013-03-09,58,37
2013-03-10 - 2013-03-16,64,41
2013-03-17 - 2013-03-23,70,36
2013-03-24 - 2013-03-30,60,47
2013-03-31 - 2013-04-06,62,32
2013-04-07 - 2013-04-13,59,40
2013-04-14 - 2013-04-20,51,44
2013-04-21 - 2013-04-27,58,47
2013-04-28 - 2013-05-04,55,42
2013-05-05 - 2013-05-11,54,37
2013-05-12 - 2013-05-18,65,34
2013-05-19 - 2013-05-25,49,42
2013-05-26 - 2013-06-01,68,40
2013-06-02 - 2013-06-08,64,38
2013-06-09 - 2013-06-15,60,34
2013-06-16 - 2013-06-22,68,42
2013-06-23 - 2013-06-29,64,44
2013-06-30 - 2013-07-06,69,36
2013-07-07 - 2013-07-13,60,46
2013-07-14 - 2013-07-20,75,43
2013-07-21 - 2013-07-27,67,38
2013-07-28 - 2013-08-03,74,47
2013-08-04 - 2013-08-10,59,39
2013-08-11 - 2013-08-17,78,37
2013-08-18 - 2013-08-24,67,37
2013-08-25 - 2013-08-31,73,42
2013-09-01 - 2013-09-07,61,39
2013-09-08 - 2013-09-14,76,35
2013-09-15 - 2013-09-21,63,34
2013-09-22 - 2013-09-28,70,41
2013-09-29 - 2013-10-05,60,40
2013-10-06 - 2013-10-12,65,39
2013-10-13 - 2013-10-19,65,44
2013-10-20 - 2013-10-26,74,40
2013-10-27 - 2013-11-02,63,44
2013-11-03 - 2013-11-09,71,42
2013-11-10 - 2013-11-16,57,34
2013-11-17 - 2013-11-23,76,44
2013-11-24 - 2013-11-30,68,42
2013-12-01 - 2013-12-07,84,42
2013-12-08 - 2013-12-14,88,58
2013-12-15 - 2013-12-21,100,49
2013-12-22 - 2013-12-28,54,42
2013-12-29 - 2014-01-04,68,36
2014-01-05 - 2014-01-11,64,34
2014-01-12 - 2014-01-18,45,34
2014-01-19 - 2014-01-25,71,39
2014-01-26 - 2014-02-01,54,38
2014-02-02 - 2014-02-08,58,40
2014-02-09 - 2014-02-15,54,41
2014-02-16 - 2014-02-22,74,35
2014-02-23 - 2014-03-01,46,38
2014-03-02 - 2014-03-08,59,35
2014-03-09 - 2014-03-15,55,33
2014-03-16 - 2014-03-22,65,37
2014-03-23 - 2014-03-29,55,40
2014-03-30 - 2014-04-05,56,38
2014-04-06 - 2014-04-12,64,42
2014-04-13 - 2014-04-19,63,47
2014-04-20 - 2014-04-26,55,39
2014-04-27 - 2014-05-03,64,40
2014-05-04 - 2014-05-10,69,38
2014-05-11 - 2014-05-17,48,42
2014-05-18 - 2014-05-24,64,38
2014-05-25 - 2014-05-31,53,42
2014-06-01 - 2014-06-07,63,38
2014-06-08 - 2014-06-14,51,35
2014-06-15 - 2014-06-21,64,42
2014-06-22 - 2014-06-28,59,49
2014-06-29 - 2014-07-05,77,45
2014-07-06 - 2014-07-12,58,40
2014-07-13 - 2014-07-19,64,48
2014-07-20 - 2014-07-26,64,50
2014-07-27 - 2014-08-02,86,49
2014-08-03 - 2014-08-09,76,53
2014-08-10 - 2014-08-16,69,50
2014-08-17 - 2014-08-23,76,43
2014-08-24 - 2014-08-30,64,47
2014-08-31 - 2014-09-06,76,42
2014-09-07 - 2014-09-13,60,40
2014-09-14 - 2014-09-20,72,39
2014-09-21 - 2014-09-27,59,49
2014-09-28 - 2014-10-04,60,43
2014-10-05 - 2014-10-11,67,49
2014-10-12 - 2014-10-18,59,54
2014-10-19 - 2014-10-25,62,50
2014-10-26 - 2014-11-01,62,52
2014-11-02 - 2014-11-08,67,47
2014-11-09 - 2014-11-15,73,45
2014-11-16 - 2014-11-22,68,48
2014-11-23 - 2014-11-29,87,47
2014-11-30 - 2014-12-06,87,54
2014-12-07 - 2014-12-13,83,53
2014-12-14 - 2014-12-20,93,61
2014-12-21 - 2014-12-27,70,50
2014-12-28 - 2015-01-03,63,52
2015-01-04 - 2015-01-10,67,39
2015-01-11 - 2015-01-17,54,46
2015-01-18 - 2015-01-24,58,51
2015-01-25 - 2015-01-31,70,49
2015-02-01 - 2015-02-07,63,48
2015-02-08 - 2015-02-14,63,44
2015-02-15 - 2015-02-21,75,51
2015-02-22 - 2015-02-28,60,44
2015-03-01 - 2015-03-07,72,47
2015-03-08 - 2015-03-14,67,51
2015-03-15 - 2015-03-21,65,42
2015-03-22 - 2015-03-28,60,43
2015-03-29 - 2015-04-04,73,62
2015-04-05 - 2015-04-11,67,55
2015-04-12 - 2015-04-18,59,50
2015-04-19 - 2015-04-25,48,46
2015-04-26 - 2015-05-02,70,44
2015-05-03 - 2015-05-09,68,54
2015-05-10 - 2015-05-16,61,53
2015-05-17 - 2015-05-23,69,46
2015-05-24 - 2015-05-30,59,48
2015-05-31 - 2015-06-06,66,48
2015-06-07 - 2015-06-13,67,50
2015-06-14 - 2015-06-20,72,53
2015-06-21 - 2015-06-27,58,50
2015-06-28 - 2015-07-04,87,58
2015-07-05 - 2015-07-11,65,54
2015-07-12 - 2015-07-18,86,48
2015-07-19 - 2015-07-25,77,69
2015-07-26 - 2015-08-01,84,46
2015-08-02 - 2015-08-08,75,45
2015-08-09 - 2015-08-15,83,61
2015-08-16 - 2015-08-22,95,57
2015-08-23 - 2015-08-29,76,54
2015-08-30 - 2015-09-05,75,47
2015-09-06 - 2015-09-12,68,57
2015-09-13 - 2015-09-19,81,58
2015-09-20 - 2015-09-26,54,53
2015-09-27 - 2015-10-03,76,55
2015-10-04 - 2015-10-10,80,53
2015-10-11 - 2015-10-17,71,55
2015-10-18 - 2015-10-24,78,54
