Week,"rossmann",dm
2013-01-06 - 2013-01-12,75,58
2013-01-13 - 2013-01-19,65,55
2013-01-20 - 2013-01-26,68,63
2013-01-27 - 2013-02-02,63,56
2013-02-03 - 2013-02-09,76,63
2013-02-10 - 2013-02-16,58,57
2013-02-17 - 2013-02-23,68,57
2013-02-24 - 2013-03-02,60,60
2013-03-03 - 2013-03-09,68,54
2013-03-10 - 2013-03-16,64,57
2013-03-17 - 2013-03-23,82,61
2013-03-24 - 2013-03-30,70,63
2013-03-31 - 2013-04-06,66,63
2013-04-07 - 2013-04-13,75,59
2013-04-14 - 2013-04-20,62,64
2013-04-21 - 2013-04-27,74,64
2013-04-28 - 2013-05-04,66,65
2013-05-05 - 2013-05-11,69,69
2013-05-12 - 2013-05-18,73,63
2013-05-19 - 2013-05-25,68,60
2013-05-26 - 2013-06-01,75,59
2013-06-02 - 2013-06-08,69,63
2013-06-09 - 2013-06-15,72,63
2013-06-16 - 2013-06-22,83,61
2013-06-23 - 2013-06-29,74,65
2013-06-30 - 2013-07-06,87,66
2013-07-07 - 2013-07-13,72,65
2013-07-14 - 2013-07-20,86,69
2013-07-21 - 2013-07-27,79,69
2013-07-28 - 2013-08-03,87,72
2013-08-04 - 2013-08-10,70,67
2013-08-11 - 2013-08-17,78,70
2013-08-18 - 2013-08-24,72,71
2013-08-25 - 2013-08-31,82,67
2013-09-01 - 2013-09-07,69,64
2013-09-08 - 2013-09-14,81,64
2013-09-15 - 2013-09-21,66,58
2013-09-22 - 2013-09-28,71,57
2013-09-29 - 2013-10-05,64,60
2013-10-06 - 2013-10-12,78,60
2013-10-13 - 2013-10-19,73,68
2013-10-20 - 2013-10-26,77,68
2013-10-27 - 2013-11-02,73,67
2013-11-03 - 2013-11-09,85,63
2013-11-10 - 2013-11-16,75,63
2013-11-17 - 2013-11-23,81,71
2013-11-24 - 2013-11-30,79,66
2013-12-01 - 2013-12-07,98,76
2013-12-08 - 2013-12-14,81,89
2013-12-15 - 2013-12-21,99,91
2013-12-22 - 2013-12-28,76,72
2013-12-29 - 2014-01-04,71,69
2014-01-05 - 2014-01-11,78,69
2014-01-12 - 2014-01-18,55,68
2014-01-19 - 2014-01-25,71,65
2014-01-26 - 2014-02-01,62,66
2014-02-02 - 2014-02-08,73,68
2014-02-09 - 2014-02-15,59,66
2014-02-16 - 2014-02-22,72,66
2014-02-23 - 2014-03-01,59,63
2014-03-02 - 2014-03-08,68,63
2014-03-09 - 2014-03-15,59,65
2014-03-16 - 2014-03-22,72,66
2014-03-23 - 2014-03-29,58,68
2014-03-30 - 2014-04-05,64,60
2014-04-06 - 2014-04-12,62,69
2014-04-13 - 2014-04-19,75,75
2014-04-20 - 2014-04-26,57,73
2014-04-27 - 2014-05-03,76,71
2014-05-04 - 2014-05-10,71,75
2014-05-11 - 2014-05-17,61,70
2014-05-18 - 2014-05-24,77,73
2014-05-25 - 2014-05-31,62,74
2014-06-01 - 2014-06-07,77,72
2014-06-08 - 2014-06-14,57,74
2014-06-15 - 2014-06-21,71,72
2014-06-22 - 2014-06-28,57,72
2014-06-29 - 2014-07-05,76,75
2014-07-06 - 2014-07-12,60,74
2014-07-13 - 2014-07-19,75,76
2014-07-20 - 2014-07-26,66,79
2014-07-27 - 2014-08-02,84,83
2014-08-03 - 2014-08-09,73,79
2014-08-10 - 2014-08-16,77,86
2014-08-17 - 2014-08-23,84,81
2014-08-24 - 2014-08-30,68,80
2014-08-31 - 2014-09-06,78,76
2014-09-07 - 2014-09-13,69,76
2014-09-14 - 2014-09-20,72,76
2014-09-21 - 2014-09-27,59,74
2014-09-28 - 2014-10-04,71,75
2014-10-05 - 2014-10-11,69,80
2014-10-12 - 2014-10-18,71,81
2014-10-19 - 2014-10-25,75,82
2014-10-26 - 2014-11-01,70,77
2014-11-02 - 2014-11-08,75,77
2014-11-09 - 2014-11-15,66,80
2014-11-16 - 2014-11-22,69,82
2014-11-23 - 2014-11-29,88,81
2014-11-30 - 2014-12-06,86,88
2014-12-07 - 2014-12-13,86,93
2014-12-14 - 2014-12-20,96,100
2014-12-21 - 2014-12-27,86,94
2014-12-28 - 2015-01-03,77,83
2015-01-04 - 2015-01-10,70,78
2015-01-11 - 2015-01-17,64,81
2015-01-18 - 2015-01-24,60,74
2015-01-25 - 2015-01-31,73,79
2015-02-01 - 2015-02-07,69,76
2015-02-08 - 2015-02-14,70,83
2015-02-15 - 2015-02-21,72,75
2015-02-22 - 2015-02-28,62,75
2015-03-01 - 2015-03-07,75,77
2015-03-08 - 2015-03-14,64,77
2015-03-15 - 2015-03-21,74,75
2015-03-22 - 2015-03-28,61,73
2015-03-29 - 2015-04-04,76,84
2015-04-05 - 2015-04-11,63,81
2015-04-12 - 2015-04-18,70,79
2015-04-19 - 2015-04-25,64,76
2015-04-26 - 2015-05-02,73,77
2015-05-03 - 2015-05-09,69,78
2015-05-10 - 2015-05-16,66,80
2015-05-17 - 2015-05-23,71,77
2015-05-24 - 2015-05-30,65,80
2015-05-31 - 2015-06-06,78,88
2015-06-07 - 2015-06-13,64,81
2015-06-14 - 2015-06-20,79,81
2015-06-21 - 2015-06-27,63,87
2015-06-28 - 2015-07-04,82,85
