Week,"rossmann",dm
2013-01-06 - 2013-01-12,13,54
2013-01-13 - 2013-01-19,12,51
2013-01-20 - 2013-01-26,13,54
2013-01-27 - 2013-02-02,13,51
2013-02-03 - 2013-02-09,13,50
2013-02-10 - 2013-02-16,12,55
2013-02-17 - 2013-02-23,14,50
2013-02-24 - 2013-03-02,13,55
2013-03-03 - 2013-03-09,12,51
2013-03-10 - 2013-03-16,14,51
2013-03-17 - 2013-03-23,15,53
2013-03-24 - 2013-03-30,14,54
2013-03-31 - 2013-04-06,14,56
2013-04-07 - 2013-04-13,15,52
2013-04-14 - 2013-04-20,14,55
2013-04-21 - 2013-04-27,16,55
2013-04-28 - 2013-05-04,13,56
2013-05-05 - 2013-05-11,14,55
2013-05-12 - 2013-05-18,16,53
2013-05-19 - 2013-05-25,13,55
2013-05-26 - 2013-06-01,16,55
2013-06-02 - 2013-06-08,13,57
2013-06-09 - 2013-06-15,13,55
2013-06-16 - 2013-06-22,15,54
2013-06-23 - 2013-06-29,15,58
2013-06-30 - 2013-07-06,15,58
2013-07-07 - 2013-07-13,12,62
2013-07-14 - 2013-07-20,15,60
2013-07-21 - 2013-07-27,14,61
2013-07-28 - 2013-08-03,15,58
2013-08-04 - 2013-08-10,12,58
2013-08-11 - 2013-08-17,16,61
2013-08-18 - 2013-08-24,15,63
2013-08-25 - 2013-08-31,17,65
2013-09-01 - 2013-09-07,12,61
2013-09-08 - 2013-09-14,14,60
2013-09-15 - 2013-09-21,11,54
2013-09-22 - 2013-09-28,14,53
2013-09-29 - 2013-10-05,12,61
2013-10-06 - 2013-10-12,13,58
2013-10-13 - 2013-10-19,13,60
2013-10-20 - 2013-10-26,14,56
2013-10-27 - 2013-11-02,13,58
2013-11-03 - 2013-11-09,16,58
2013-11-10 - 2013-11-16,13,61
2013-11-17 - 2013-11-23,16,67
2013-11-24 - 2013-11-30,15,69
2013-12-01 - 2013-12-07,17,78
2013-12-08 - 2013-12-14,17,97
2013-12-15 - 2013-12-21,19,91
2013-12-22 - 2013-12-28,14,70
2013-12-29 - 2014-01-04,14,62
2014-01-05 - 2014-01-11,14,56
2014-01-12 - 2014-01-18,14,57
2014-01-19 - 2014-01-25,16,57
2014-01-26 - 2014-02-01,14,53
2014-02-02 - 2014-02-08,14,54
2014-02-09 - 2014-02-15,15,56
2014-02-16 - 2014-02-22,16,53
2014-02-23 - 2014-03-01,14,54
2014-03-02 - 2014-03-08,15,56
2014-03-09 - 2014-03-15,13,54
2014-03-16 - 2014-03-22,17,52
2014-03-23 - 2014-03-29,14,56
2014-03-30 - 2014-04-05,14,54
2014-04-06 - 2014-04-12,15,56
2014-04-13 - 2014-04-19,17,61
2014-04-20 - 2014-04-26,16,57
2014-04-27 - 2014-05-03,19,60
2014-05-04 - 2014-05-10,16,58
2014-05-11 - 2014-05-17,15,60
2014-05-18 - 2014-05-24,18,57
2014-05-25 - 2014-05-31,14,58
2014-06-01 - 2014-06-07,16,57
2014-06-08 - 2014-06-14,14,55
2014-06-15 - 2014-06-21,16,59
2014-06-22 - 2014-06-28,15,59
2014-06-29 - 2014-07-05,20,59
2014-07-06 - 2014-07-12,14,58
2014-07-13 - 2014-07-19,17,61
2014-07-20 - 2014-07-26,15,68
2014-07-27 - 2014-08-02,18,67
2014-08-03 - 2014-08-09,17,67
2014-08-10 - 2014-08-16,18,65
2014-08-17 - 2014-08-23,19,66
2014-08-24 - 2014-08-30,15,62
2014-08-31 - 2014-09-06,20,63
2014-09-07 - 2014-09-13,15,63
2014-09-14 - 2014-09-20,17,60
2014-09-21 - 2014-09-27,14,57
2014-09-28 - 2014-10-04,17,62
2014-10-05 - 2014-10-11,16,61
2014-10-12 - 2014-10-18,15,66
2014-10-19 - 2014-10-25,17,61
2014-10-26 - 2014-11-01,16,61
2014-11-02 - 2014-11-08,18,64
2014-11-09 - 2014-11-15,16,66
2014-11-16 - 2014-11-22,17,71
2014-11-23 - 2014-11-29,21,71
2014-11-30 - 2014-12-06,21,84
2014-12-07 - 2014-12-13,20,96
2014-12-14 - 2014-12-20,24,100
2014-12-21 - 2014-12-27,18,80
2014-12-28 - 2015-01-03,19,67
2015-01-04 - 2015-01-10,18,62
2015-01-11 - 2015-01-17,17,62
2015-01-18 - 2015-01-24,17,63
2015-01-25 - 2015-01-31,21,64
2015-02-01 - 2015-02-07,18,62
2015-02-08 - 2015-02-14,16,61
2015-02-15 - 2015-02-21,20,62
2015-02-22 - 2015-02-28,17,62
2015-03-01 - 2015-03-07,18,60
2015-03-08 - 2015-03-14,19,60
2015-03-15 - 2015-03-21,19,61
2015-03-22 - 2015-03-28,16,59
2015-03-29 - 2015-04-04,20,64
2015-04-05 - 2015-04-11,18,63
2015-04-12 - 2015-04-18,20,62
2015-04-19 - 2015-04-25,17,61
2015-04-26 - 2015-05-02,20,60
2015-05-03 - 2015-05-09,20,68
2015-05-10 - 2015-05-16,17,64
2015-05-17 - 2015-05-23,21,63
2015-05-24 - 2015-05-30,20,64
