Week,"rossmann",dm
2013-01-06 - 2013-01-12,28,49
2013-01-13 - 2013-01-19,22,47
2013-01-20 - 2013-01-26,24,50
2013-01-27 - 2013-02-02,22,49
2013-02-03 - 2013-02-09,24,48
2013-02-10 - 2013-02-16,23,52
2013-02-17 - 2013-02-23,26,50
2013-02-24 - 2013-03-02,23,48
2013-03-03 - 2013-03-09,24,49
2013-03-10 - 2013-03-16,23,46
2013-03-17 - 2013-03-23,29,50
2013-03-24 - 2013-03-30,27,54
2013-03-31 - 2013-04-06,25,50
2013-04-07 - 2013-04-13,26,51
2013-04-14 - 2013-04-20,23,52
2013-04-21 - 2013-04-27,27,54
2013-04-28 - 2013-05-04,24,51
2013-05-05 - 2013-05-11,24,53
2013-05-12 - 2013-05-18,26,52
2013-05-19 - 2013-05-25,24,53
2013-05-26 - 2013-06-01,29,53
2013-06-02 - 2013-06-08,24,48
2013-06-09 - 2013-06-15,23,51
2013-06-16 - 2013-06-22,30,51
2013-06-23 - 2013-06-29,24,55
2013-06-30 - 2013-07-06,26,53
2013-07-07 - 2013-07-13,23,52
2013-07-14 - 2013-07-20,29,58
2013-07-21 - 2013-07-27,27,57
2013-07-28 - 2013-08-03,29,55
2013-08-04 - 2013-08-10,27,57
2013-08-11 - 2013-08-17,30,58
2013-08-18 - 2013-08-24,27,59
2013-08-25 - 2013-08-31,34,61
2013-09-01 - 2013-09-07,24,57
2013-09-08 - 2013-09-14,28,59
2013-09-15 - 2013-09-21,23,53
2013-09-22 - 2013-09-28,26,52
2013-09-29 - 2013-10-05,25,54
2013-10-06 - 2013-10-12,26,54
2013-10-13 - 2013-10-19,24,54
2013-10-20 - 2013-10-26,28,55
2013-10-27 - 2013-11-02,25,57
2013-11-03 - 2013-11-09,28,58
2013-11-10 - 2013-11-16,24,57
2013-11-17 - 2013-11-23,29,65
2013-11-24 - 2013-11-30,28,64
2013-12-01 - 2013-12-07,32,76
2013-12-08 - 2013-12-14,32,100
2013-12-15 - 2013-12-21,41,88
2013-12-22 - 2013-12-28,27,67
2013-12-29 - 2014-01-04,29,60
2014-01-05 - 2014-01-11,30,55
2014-01-12 - 2014-01-18,24,56
2014-01-19 - 2014-01-25,31,53
2014-01-26 - 2014-02-01,23,53
2014-02-02 - 2014-02-08,29,51
2014-02-09 - 2014-02-15,24,54
2014-02-16 - 2014-02-22,30,51
2014-02-23 - 2014-03-01,23,51
2014-03-02 - 2014-03-08,29,56
2014-03-09 - 2014-03-15,23,53
2014-03-16 - 2014-03-22,29,49
2014-03-23 - 2014-03-29,25,51
2014-03-30 - 2014-04-05,29,51
2014-04-06 - 2014-04-12,25,56
2014-04-13 - 2014-04-19,30,59
2014-04-20 - 2014-04-26,25,55
2014-04-27 - 2014-05-03,32,61
2014-05-04 - 2014-05-10,30,60
2014-05-11 - 2014-05-17,28,59
2014-05-18 - 2014-05-24,31,56
2014-05-25 - 2014-05-31,26,57
2014-06-01 - 2014-06-07,30,57
2014-06-08 - 2014-06-14,26,57
2014-06-15 - 2014-06-21,33,58
2014-06-22 - 2014-06-28,27,58
2014-06-29 - 2014-07-05,33,60
2014-07-06 - 2014-07-12,29,59
2014-07-13 - 2014-07-19,32,64
2014-07-20 - 2014-07-26,29,64
2014-07-27 - 2014-08-02,33,66
2014-08-03 - 2014-08-09,34,67
2014-08-10 - 2014-08-16,32,63
2014-08-17 - 2014-08-23,37,69
2014-08-24 - 2014-08-30,29,65
2014-08-31 - 2014-09-06,36,63
2014-09-07 - 2014-09-13,30,64
2014-09-14 - 2014-09-20,32,61
2014-09-21 - 2014-09-27,28,60
2014-09-28 - 2014-10-04,32,61
2014-10-05 - 2014-10-11,30,62
2014-10-12 - 2014-10-18,30,67
2014-10-19 - 2014-10-25,32,59
2014-10-26 - 2014-11-01,30,62
2014-11-02 - 2014-11-08,34,66
2014-11-09 - 2014-11-15,33,67
2014-11-16 - 2014-11-22,34,69
2014-11-23 - 2014-11-29,39,73
2014-11-30 - 2014-12-06,41,83
2014-12-07 - 2014-12-13,41,97
2014-12-14 - 2014-12-20,46,100
2014-12-21 - 2014-12-27,35,79
2014-12-28 - 2015-01-03,34,68
2015-01-04 - 2015-01-10,36,62
2015-01-11 - 2015-01-17,32,63
2015-01-18 - 2015-01-24,30,60
2015-01-25 - 2015-01-31,37,62
2015-02-01 - 2015-02-07,33,62
2015-02-08 - 2015-02-14,31,61
2015-02-15 - 2015-02-21,37,65
2015-02-22 - 2015-02-28,30,60
2015-03-01 - 2015-03-07,32,61
2015-03-08 - 2015-03-14,30,60
2015-03-15 - 2015-03-21,35,59
2015-03-22 - 2015-03-28,30,57
2015-03-29 - 2015-04-04,34,64
2015-04-05 - 2015-04-11,31,64
2015-04-12 - 2015-04-18,34,65
2015-04-19 - 2015-04-25,30,61
2015-04-26 - 2015-05-02,35,63
2015-05-03 - 2015-05-09,33,66
2015-05-10 - 2015-05-16,29,62
2015-05-17 - 2015-05-23,35,60
2015-05-24 - 2015-05-30,32,65
2015-05-31 - 2015-06-06,36,65
2015-06-07 - 2015-06-13,32,63
2015-06-14 - 2015-06-20,36,68
2015-06-21 - 2015-06-27,30,68
2015-06-28 - 2015-07-04,37,67
2015-07-05 - 2015-07-11,31,65
2015-07-12 - 2015-07-18,37,72
2015-07-19 - 2015-07-25,32,78
2015-07-26 - 2015-08-01,39,73
2015-08-02 - 2015-08-08,36,76
2015-08-09 - 2015-08-15,35,72
2015-08-16 - 2015-08-22,39,73
2015-08-23 - 2015-08-29,33,76
2015-08-30 - 2015-09-05,37,76
2015-09-06 - 2015-09-12,32,74
2015-09-13 - 2015-09-19,37,72
2015-09-20 - 2015-09-26,30,70
2015-09-27 - 2015-10-03,35,67
2015-10-04 - 2015-10-10,34,74
2015-10-11 - 2015-10-17,32,78
2015-10-18 - 2015-10-24,39,70





