Week,"rossmann",dm
2013-01-06 - 2013-01-12,66,26
2013-01-13 - 2013-01-19,47,22
2013-01-20 - 2013-01-26,55,28
2013-01-27 - 2013-02-02,51,24
2013-02-03 - 2013-02-09,59,22
2013-02-10 - 2013-02-16,44,21
2013-02-17 - 2013-02-23,49,25
2013-02-24 - 2013-03-02,50,26
2013-03-03 - 2013-03-09,48,20
2013-03-10 - 2013-03-16,49,24
2013-03-17 - 2013-03-23,61,29
2013-03-24 - 2013-03-30,56,30
2013-03-31 - 2013-04-06,58,28
2013-04-07 - 2013-04-13,56,26
2013-04-14 - 2013-04-20,52,30
2013-04-21 - 2013-04-27,56,28
2013-04-28 - 2013-05-04,54,29
2013-05-05 - 2013-05-11,51,27
2013-05-12 - 2013-05-18,55,28
2013-05-19 - 2013-05-25,55,29
2013-05-26 - 2013-06-01,63,27
2013-06-02 - 2013-06-08,51,27
2013-06-09 - 2013-06-15,55,23
2013-06-16 - 2013-06-22,59,24
2013-06-23 - 2013-06-29,60,30
2013-06-30 - 2013-07-06,78,35
2013-07-07 - 2013-07-13,60,28
2013-07-14 - 2013-07-20,61,34
2013-07-21 - 2013-07-27,62,37
2013-07-28 - 2013-08-03,76,26
2013-08-04 - 2013-08-10,61,25
2013-08-11 - 2013-08-17,64,29
2013-08-18 - 2013-08-24,58,30
2013-08-25 - 2013-08-31,70,32
2013-09-01 - 2013-09-07,46,29
2013-09-08 - 2013-09-14,71,29
2013-09-15 - 2013-09-21,53,30
2013-09-22 - 2013-09-28,65,30
2013-09-29 - 2013-10-05,53,25
2013-10-06 - 2013-10-12,65,29
2013-10-13 - 2013-10-19,58,28
2013-10-20 - 2013-10-26,61,23
2013-10-27 - 2013-11-02,61,27
2013-11-03 - 2013-11-09,61,31
2013-11-10 - 2013-11-16,57,33
2013-11-17 - 2013-11-23,63,34
2013-11-24 - 2013-11-30,70,30
2013-12-01 - 2013-12-07,74,33
2013-12-08 - 2013-12-14,83,42
2013-12-15 - 2013-12-21,88,35
2013-12-22 - 2013-12-28,63,28
2013-12-29 - 2014-01-04,64,31
2014-01-05 - 2014-01-11,74,28
2014-01-12 - 2014-01-18,50,38
2014-01-19 - 2014-01-25,63,29
2014-01-26 - 2014-02-01,50,32
2014-02-02 - 2014-02-08,56,32
2014-02-09 - 2014-02-15,49,34
2014-02-16 - 2014-02-22,61,28
2014-02-23 - 2014-03-01,55,31
2014-03-02 - 2014-03-08,61,27
2014-03-09 - 2014-03-15,51,29
2014-03-16 - 2014-03-22,62,30
2014-03-23 - 2014-03-29,50,33
2014-03-30 - 2014-04-05,59,29
2014-04-06 - 2014-04-12,58,38
2014-04-13 - 2014-04-19,68,37
2014-04-20 - 2014-04-26,57,31
2014-04-27 - 2014-05-03,69,30
2014-05-04 - 2014-05-10,70,35
2014-05-11 - 2014-05-17,60,34
2014-05-18 - 2014-05-24,58,32
2014-05-25 - 2014-05-31,56,29
2014-06-01 - 2014-06-07,66,39
2014-06-08 - 2014-06-14,57,39
2014-06-15 - 2014-06-21,66,40
2014-06-22 - 2014-06-28,53,27
2014-06-29 - 2014-07-05,68,37
2014-07-06 - 2014-07-12,60,29
2014-07-13 - 2014-07-19,65,33
2014-07-20 - 2014-07-26,59,34
2014-07-27 - 2014-08-02,80,40
2014-08-03 - 2014-08-09,75,40
2014-08-10 - 2014-08-16,71,41
2014-08-17 - 2014-08-23,81,36
2014-08-24 - 2014-08-30,58,36
2014-08-31 - 2014-09-06,71,35
2014-09-07 - 2014-09-13,60,38
2014-09-14 - 2014-09-20,76,35
2014-09-21 - 2014-09-27,57,37
2014-09-28 - 2014-10-04,68,29
2014-10-05 - 2014-10-11,61,36
2014-10-12 - 2014-10-18,60,33
2014-10-19 - 2014-10-25,64,38
2014-10-26 - 2014-11-01,59,34
2014-11-02 - 2014-11-08,69,35
2014-11-09 - 2014-11-15,64,40
2014-11-16 - 2014-11-22,62,42
2014-11-23 - 2014-11-29,75,38
2014-11-30 - 2014-12-06,93,40
2014-12-07 - 2014-12-13,84,44
2014-12-14 - 2014-12-20,100,42
2014-12-21 - 2014-12-27,85,35
2014-12-28 - 2015-01-03,70,39
2015-01-04 - 2015-01-10,66,35
2015-01-11 - 2015-01-17,64,34
2015-01-18 - 2015-01-24,62,39
2015-01-25 - 2015-01-31,69,37
2015-02-01 - 2015-02-07,74,32
2015-02-08 - 2015-02-14,75,33
2015-02-15 - 2015-02-21,71,43
2015-02-22 - 2015-02-28,58,42
2015-03-01 - 2015-03-07,64,47
2015-03-08 - 2015-03-14,53,38
2015-03-15 - 2015-03-21,67,39
2015-03-22 - 2015-03-28,55,38
2015-03-29 - 2015-04-04,70,44
2015-04-05 - 2015-04-11,66,42
2015-04-12 - 2015-04-18,68,44
2015-04-19 - 2015-04-25,53,39
2015-04-26 - 2015-05-02,75,41
2015-05-03 - 2015-05-09,69,45
2015-05-10 - 2015-05-16,63,40
2015-05-17 - 2015-05-23,68,42
2015-05-24 - 2015-05-30,61,40
2015-05-31 - 2015-06-06,78,38
2015-06-07 - 2015-06-13,58,45
2015-06-14 - 2015-06-20,76,39
2015-06-21 - 2015-06-27,63,47
2015-06-28 - 2015-07-04,77,40
2015-07-05 - 2015-07-11,68,45
2015-07-12 - 2015-07-18,75,48
2015-07-19 - 2015-07-25,70,43
2015-07-26 - 2015-08-01,85,49
2015-08-02 - 2015-08-08,78,50
2015-08-09 - 2015-08-15,70,43
2015-08-16 - 2015-08-22,82,39
2015-08-23 - 2015-08-29,71,49
2015-08-30 - 2015-09-05,82,52
2015-09-06 - 2015-09-12,70,41
2015-09-13 - 2015-09-19,79,46
2015-09-20 - 2015-09-26,73,44
2015-09-27 - 2015-10-03,74,36
2015-10-04 - 2015-10-10,72,45
2015-10-11 - 2015-10-17,71,40
2015-10-18 - 2015-10-24,81,45
