Week,"rossmann",dm
2013-01-06 - 2013-01-12,39,52
2013-01-13 - 2013-01-19,30,52
2013-01-20 - 2013-01-26,33,56
2013-01-27 - 2013-02-02,30,52
2013-02-03 - 2013-02-09,34,54
2013-02-10 - 2013-02-16,31,51
2013-02-17 - 2013-02-23,33,47
2013-02-24 - 2013-03-02,27,53
2013-03-03 - 2013-03-09,35,50
2013-03-10 - 2013-03-16,28,48
2013-03-17 - 2013-03-23,35,54
2013-03-24 - 2013-03-30,33,52
2013-03-31 - 2013-04-06,34,54
2013-04-07 - 2013-04-13,35,54
2013-04-14 - 2013-04-20,29,57
2013-04-21 - 2013-04-27,36,55
2013-04-28 - 2013-05-04,29,55
2013-05-05 - 2013-05-11,33,56
2013-05-12 - 2013-05-18,35,52
2013-05-19 - 2013-05-25,31,51
2013-05-26 - 2013-06-01,33,52
2013-06-02 - 2013-06-08,32,52
2013-06-09 - 2013-06-15,29,56
2013-06-16 - 2013-06-22,41,56
2013-06-23 - 2013-06-29,33,58
2013-06-30 - 2013-07-06,38,56
2013-07-07 - 2013-07-13,29,60
2013-07-14 - 2013-07-20,41,65
2013-07-21 - 2013-07-27,33,61
2013-07-28 - 2013-08-03,37,64
2013-08-04 - 2013-08-10,32,58
2013-08-11 - 2013-08-17,35,59
2013-08-18 - 2013-08-24,32,56
2013-08-25 - 2013-08-31,39,58
2013-09-01 - 2013-09-07,33,54
2013-09-08 - 2013-09-14,34,57
2013-09-15 - 2013-09-21,27,55
2013-09-22 - 2013-09-28,34,55
2013-09-29 - 2013-10-05,28,54
2013-10-06 - 2013-10-12,34,57
2013-10-13 - 2013-10-19,30,59
2013-10-20 - 2013-10-26,35,59
2013-10-27 - 2013-11-02,32,54
2013-11-03 - 2013-11-09,38,58
2013-11-10 - 2013-11-16,30,63
2013-11-17 - 2013-11-23,39,63
2013-11-24 - 2013-11-30,36,64
2013-12-01 - 2013-12-07,40,76
2013-12-08 - 2013-12-14,41,94
2013-12-15 - 2013-12-21,53,85
2013-12-22 - 2013-12-28,35,74
2013-12-29 - 2014-01-04,37,65
2014-01-05 - 2014-01-11,40,59
2014-01-12 - 2014-01-18,28,62
2014-01-19 - 2014-01-25,36,57
2014-01-26 - 2014-02-01,32,55
2014-02-02 - 2014-02-08,36,59
2014-02-09 - 2014-02-15,32,54
2014-02-16 - 2014-02-22,39,59
2014-02-23 - 2014-03-01,32,54
2014-03-02 - 2014-03-08,37,54
2014-03-09 - 2014-03-15,30,58
2014-03-16 - 2014-03-22,36,56
2014-03-23 - 2014-03-29,30,55
