Week,"rossmann",dm
2013-01-06 - 2013-01-12,61,34
2013-01-13 - 2013-01-19,53,34
2013-01-20 - 2013-01-26,56,44
2013-01-27 - 2013-02-02,51,39
2013-02-03 - 2013-02-09,61,32
2013-02-10 - 2013-02-16,48,38
2013-02-17 - 2013-02-23,60,37
2013-02-24 - 2013-03-02,49,39
2013-03-03 - 2013-03-09,59,38
2013-03-10 - 2013-03-16,55,38
2013-03-17 - 2013-03-23,62,41
2013-03-24 - 2013-03-30,58,41
2013-03-31 - 2013-04-06,53,44
2013-04-07 - 2013-04-13,52,45
2013-04-14 - 2013-04-20,47,49
2013-04-21 - 2013-04-27,57,47
2013-04-28 - 2013-05-04,49,49
2013-05-05 - 2013-05-11,54,48
2013-05-12 - 2013-05-18,58,45
2013-05-19 - 2013-05-25,49,47
2013-05-26 - 2013-06-01,62,53
2013-06-02 - 2013-06-08,51,50
2013-06-09 - 2013-06-15,50,53
2013-06-16 - 2013-06-22,59,52
2013-06-23 - 2013-06-29,51,55
2013-06-30 - 2013-07-06,66,48
2013-07-07 - 2013-07-13,69,45
2013-07-14 - 2013-07-20,79,48
2013-07-21 - 2013-07-27,67,46
2013-07-28 - 2013-08-03,74,41
2013-08-04 - 2013-08-10,62,42
2013-08-11 - 2013-08-17,66,40
2013-08-18 - 2013-08-24,64,45
2013-08-25 - 2013-08-31,72,42
2013-09-01 - 2013-09-07,60,38
2013-09-08 - 2013-09-14,66,39
2013-09-15 - 2013-09-21,53,41
2013-09-22 - 2013-09-28,65,36
2013-09-29 - 2013-10-05,59,38
2013-10-06 - 2013-10-12,70,38
2013-10-13 - 2013-10-19,60,41
2013-10-20 - 2013-10-26,61,35
2013-10-27 - 2013-11-02,57,40
2013-11-03 - 2013-11-09,66,37
2013-11-10 - 2013-11-16,52,40
2013-11-17 - 2013-11-23,75,46
2013-11-24 - 2013-11-30,68,43
2013-12-01 - 2013-12-07,68,41
2013-12-08 - 2013-12-14,76,56
2013-12-15 - 2013-12-21,100,49
2013-12-22 - 2013-12-28,68,42
2013-12-29 - 2014-01-04,68,39
2014-01-05 - 2014-01-11,67,42
2014-01-12 - 2014-01-18,50,47
2014-01-19 - 2014-01-25,67,44
2014-01-26 - 2014-02-01,61,41
2014-02-02 - 2014-02-08,67,46
2014-02-09 - 2014-02-15,57,44
2014-02-16 - 2014-02-22,69,40
2014-02-23 - 2014-03-01,52,41
2014-03-02 - 2014-03-08,60,43
2014-03-09 - 2014-03-15,55,46
2014-03-16 - 2014-03-22,62,47
2014-03-23 - 2014-03-29,59,51
2014-03-30 - 2014-04-05,61,48
2014-04-06 - 2014-04-12,53,52
2014-04-13 - 2014-04-19,68,51
2014-04-20 - 2014-04-26,55,55
2014-04-27 - 2014-05-03,80,60
2014-05-04 - 2014-05-10,62,62
2014-05-11 - 2014-05-17,58,58
2014-05-18 - 2014-05-24,71,55
2014-05-25 - 2014-05-31,57,56
2014-06-01 - 2014-06-07,67,55
2014-06-08 - 2014-06-14,60,56
2014-06-15 - 2014-06-21,71,54
2014-06-22 - 2014-06-28,56,58
2014-06-29 - 2014-07-05,75,63
2014-07-06 - 2014-07-12,56,62
2014-07-13 - 2014-07-19,67,63
2014-07-20 - 2014-07-26,62,74
2014-07-27 - 2014-08-02,81,67
2014-08-03 - 2014-08-09,75,70
2014-08-10 - 2014-08-16,70,69
2014-08-17 - 2014-08-23,74,61
2014-08-24 - 2014-08-30,61,65
2014-08-31 - 2014-09-06,72,60
2014-09-07 - 2014-09-13,63,61
2014-09-14 - 2014-09-20,67,58
2014-09-21 - 2014-09-27,57,58
2014-09-28 - 2014-10-04,68,63
2014-10-05 - 2014-10-11,65,59
2014-10-12 - 2014-10-18,62,68
2014-10-19 - 2014-10-25,64,59
2014-10-26 - 2014-11-01,63,62
2014-11-02 - 2014-11-08,74,58
2014-11-09 - 2014-11-15,70,56
2014-11-16 - 2014-11-22,66,60
2014-11-23 - 2014-11-29,81,72
2014-11-30 - 2014-12-06,86,69
2014-12-07 - 2014-12-13,83,79
2014-12-14 - 2014-12-20,94,80
2014-12-21 - 2014-12-27,83,76
2014-12-28 - 2015-01-03,77,69
2015-01-04 - 2015-01-10,67,55
2015-01-11 - 2015-01-17,61,64
2015-01-18 - 2015-01-24,62,65
2015-01-25 - 2015-01-31,70,66
2015-02-01 - 2015-02-07,73,67
2015-02-08 - 2015-02-14,66,62
2015-02-15 - 2015-02-21,73,59
2015-02-22 - 2015-02-28,67,64
2015-03-01 - 2015-03-07,70,66
2015-03-08 - 2015-03-14,70,67
2015-03-15 - 2015-03-21,70,67
2015-03-22 - 2015-03-28,56,60
2015-03-29 - 2015-04-04,79,69
2015-04-05 - 2015-04-11,64,63
2015-04-12 - 2015-04-18,72,61
2015-04-19 - 2015-04-25,58,73
2015-04-26 - 2015-05-02,73,67
2015-05-03 - 2015-05-09,72,65
2015-05-10 - 2015-05-16,60,70
2015-05-17 - 2015-05-23,76,68
2015-05-24 - 2015-05-30,72,74
2015-05-31 - 2015-06-06,72,66
