Week,"rossmann",dm
2013-01-06 - 2013-01-12,67,25
2013-01-13 - 2013-01-19,50,25
2013-01-20 - 2013-01-26,59,30
2013-01-27 - 2013-02-02,54,38
2013-02-03 - 2013-02-09,55,29
2013-02-10 - 2013-02-16,54,32
2013-02-17 - 2013-02-23,58,30
2013-02-24 - 2013-03-02,53,35
2013-03-03 - 2013-03-09,60,27
2013-03-10 - 2013-03-16,59,29
2013-03-17 - 2013-03-23,69,35
2013-03-24 - 2013-03-30,61,37
2013-03-31 - 2013-04-06,53,28
2013-04-07 - 2013-04-13,67,34
2013-04-14 - 2013-04-20,43,38
2013-04-21 - 2013-04-27,70,36
2013-04-28 - 2013-05-04,54,35
2013-05-05 - 2013-05-11,49,26
2013-05-12 - 2013-05-18,63,35
2013-05-19 - 2013-05-25,56,26
2013-05-26 - 2013-06-01,64,34
2013-06-02 - 2013-06-08,67,30
2013-06-09 - 2013-06-15,64,34
2013-06-16 - 2013-06-22,68,40
2013-06-23 - 2013-06-29,59,33
2013-06-30 - 2013-07-06,69,33
2013-07-07 - 2013-07-13,64,37
2013-07-14 - 2013-07-20,78,47
2013-07-21 - 2013-07-27,54,32
2013-07-28 - 2013-08-03,76,33
2013-08-04 - 2013-08-10,57,33
2013-08-11 - 2013-08-17,74,38
2013-08-18 - 2013-08-24,63,35
2013-08-25 - 2013-08-31,67,33
2013-09-01 - 2013-09-07,57,35
2013-09-08 - 2013-09-14,70,34
2013-09-15 - 2013-09-21,58,28
2013-09-22 - 2013-09-28,59,30
2013-09-29 - 2013-10-05,52,29
2013-10-06 - 2013-10-12,65,31
2013-10-13 - 2013-10-19,52,36
2013-10-20 - 2013-10-26,64,34
2013-10-27 - 2013-11-02,64,29
2013-11-03 - 2013-11-09,60,34
2013-11-10 - 2013-11-16,67,31
2013-11-17 - 2013-11-23,70,34
2013-11-24 - 2013-11-30,68,44
2013-12-01 - 2013-12-07,82,39
2013-12-08 - 2013-12-14,93,39
2013-12-15 - 2013-12-21,100,41
2013-12-22 - 2013-12-28,61,33
2013-12-29 - 2014-01-04,61,36
2014-01-05 - 2014-01-11,70,33
2014-01-12 - 2014-01-18,55,31
2014-01-19 - 2014-01-25,65,30
2014-01-26 - 2014-02-01,44,31
2014-02-02 - 2014-02-08,51,30
2014-02-09 - 2014-02-15,57,28
2014-02-16 - 2014-02-22,66,28
2014-02-23 - 2014-03-01,44,29
2014-03-02 - 2014-03-08,65,30
2014-03-09 - 2014-03-15,45,28
2014-03-16 - 2014-03-22,66,30
2014-03-23 - 2014-03-29,48,28
2014-03-30 - 2014-04-05,64,34
2014-04-06 - 2014-04-12,54,32
2014-04-13 - 2014-04-19,65,37
2014-04-20 - 2014-04-26,52,30
2014-04-27 - 2014-05-03,66,34
2014-05-04 - 2014-05-10,58,37
2014-05-11 - 2014-05-17,55,32
2014-05-18 - 2014-05-24,72,31
2014-05-25 - 2014-05-31,51,36
2014-06-01 - 2014-06-07,58,38
2014-06-08 - 2014-06-14,54,39
2014-06-15 - 2014-06-21,72,35
2014-06-22 - 2014-06-28,51,30
2014-06-29 - 2014-07-05,71,30
2014-07-06 - 2014-07-12,50,37
2014-07-13 - 2014-07-19,79,40
2014-07-20 - 2014-07-26,58,40
2014-07-27 - 2014-08-02,79,44
2014-08-03 - 2014-08-09,71,40
2014-08-10 - 2014-08-16,74,34
2014-08-17 - 2014-08-23,76,37
2014-08-24 - 2014-08-30,57,47
2014-08-31 - 2014-09-06,69,38
2014-09-07 - 2014-09-13,53,42
2014-09-14 - 2014-09-20,72,35
2014-09-21 - 2014-09-27,70,44
2014-09-28 - 2014-10-04,75,42
2014-10-05 - 2014-10-11,61,49
2014-10-12 - 2014-10-18,57,47
2014-10-19 - 2014-10-25,63,49
2014-10-26 - 2014-11-01,64,38
2014-11-02 - 2014-11-08,67,37
2014-11-09 - 2014-11-15,63,40
2014-11-16 - 2014-11-22,62,43
2014-11-23 - 2014-11-29,75,44
2014-11-30 - 2014-12-06,87,47
2014-12-07 - 2014-12-13,79,53
2014-12-14 - 2014-12-20,81,48
2014-12-21 - 2014-12-27,68,44
2014-12-28 - 2015-01-03,56,40
2015-01-04 - 2015-01-10,61,42
2015-01-11 - 2015-01-17,65,41
2015-01-18 - 2015-01-24,62,44
2015-01-25 - 2015-01-31,69,45
2015-02-01 - 2015-02-07,62,39
2015-02-08 - 2015-02-14,55,39
2015-02-15 - 2015-02-21,79,46
2015-02-22 - 2015-02-28,52,46
2015-03-01 - 2015-03-07,60,41
2015-03-08 - 2015-03-14,53,36
2015-03-15 - 2015-03-21,67,37
2015-03-22 - 2015-03-28,49,47
2015-03-29 - 2015-04-04,64,36
2015-04-05 - 2015-04-11,53,46
2015-04-12 - 2015-04-18,70,41
2015-04-19 - 2015-04-25,51,41
2015-04-26 - 2015-05-02,60,40
2015-05-03 - 2015-05-09,63,36
2015-05-10 - 2015-05-16,55,39
2015-05-17 - 2015-05-23,66,38
2015-05-24 - 2015-05-30,64,42
2015-05-31 - 2015-06-06,65,39
2015-06-07 - 2015-06-13,58,44
2015-06-14 - 2015-06-20,63,36
2015-06-21 - 2015-06-27,57,40
2015-06-28 - 2015-07-04,70,51
2015-07-05 - 2015-07-11,59,41
2015-07-12 - 2015-07-18,75,43
2015-07-19 - 2015-07-25,59,41
2015-07-26 - 2015-08-01,85,62
2015-08-02 - 2015-08-08,69,46
2015-08-09 - 2015-08-15,69,46
2015-08-16 - 2015-08-22,80,54
2015-08-23 - 2015-08-29,70,56
2015-08-30 - 2015-09-05,70,45
2015-09-06 - 2015-09-12,51,48
2015-09-13 - 2015-09-19,69,42
2015-09-20 - 2015-09-26,57,49
2015-09-27 - 2015-10-03,76,44
2015-10-04 - 2015-10-10,72,50
2015-10-11 - 2015-10-17,59,52
2015-10-18 - 2015-10-24,72,44
