Week,"rossmann",dm
2013-01-06 - 2013-01-12,58,39
2013-01-13 - 2013-01-19,43,37
2013-01-20 - 2013-01-26,47,43
2013-01-27 - 2013-02-02,45,42
2013-02-03 - 2013-02-09,49,41
2013-02-10 - 2013-02-16,48,37
2013-02-17 - 2013-02-23,58,35
2013-02-24 - 2013-03-02,48,40
2013-03-03 - 2013-03-09,58,33
2013-03-10 - 2013-03-16,53,35
2013-03-17 - 2013-03-23,66,37
2013-03-24 - 2013-03-30,64,38
2013-03-31 - 2013-04-06,61,36
2013-04-07 - 2013-04-13,61,39
2013-04-14 - 2013-04-20,52,41
2013-04-21 - 2013-04-27,65,41
2013-04-28 - 2013-05-04,59,41
2013-05-05 - 2013-05-11,60,40
2013-05-12 - 2013-05-18,66,43
2013-05-19 - 2013-05-25,58,37
2013-05-26 - 2013-06-01,70,39
2013-06-02 - 2013-06-08,59,36
2013-06-09 - 2013-06-15,58,38
2013-06-16 - 2013-06-22,68,41
2013-06-23 - 2013-06-29,64,43
2013-06-30 - 2013-07-06,55,46
2013-07-07 - 2013-07-13,50,46
2013-07-14 - 2013-07-20,59,49
2013-07-21 - 2013-07-27,53,50
2013-07-28 - 2013-08-03,62,48
2013-08-04 - 2013-08-10,51,51
2013-08-11 - 2013-08-17,56,49
2013-08-18 - 2013-08-24,49,46
2013-08-25 - 2013-08-31,55,49
2013-09-01 - 2013-09-07,48,45
2013-09-08 - 2013-09-14,53,47
2013-09-15 - 2013-09-21,44,45
2013-09-22 - 2013-09-28,54,44
2013-09-29 - 2013-10-05,44,46
2013-10-06 - 2013-10-12,53,45
2013-10-13 - 2013-10-19,46,46
2013-10-20 - 2013-10-26,52,46
2013-10-27 - 2013-11-02,48,43
2013-11-03 - 2013-11-09,55,47
2013-11-10 - 2013-11-16,48,48
2013-11-17 - 2013-11-23,61,52
2013-11-24 - 2013-11-30,57,50
2013-12-01 - 2013-12-07,64,49
2013-12-08 - 2013-12-14,77,60
2013-12-15 - 2013-12-21,86,60
2013-12-22 - 2013-12-28,58,52
2013-12-29 - 2014-01-04,58,45
2014-01-05 - 2014-01-11,63,42
2014-01-12 - 2014-01-18,53,47
2014-01-19 - 2014-01-25,64,41
2014-01-26 - 2014-02-01,51,40
2014-02-02 - 2014-02-08,61,43
2014-02-09 - 2014-02-15,50,47
2014-02-16 - 2014-02-22,61,41
2014-02-23 - 2014-03-01,48,41
2014-03-02 - 2014-03-08,62,42
2014-03-09 - 2014-03-15,51,43
2014-03-16 - 2014-03-22,66,42
2014-03-23 - 2014-03-29,54,40
2014-03-30 - 2014-04-05,61,43
2014-04-06 - 2014-04-12,56,45
2014-04-13 - 2014-04-19,65,50
2014-04-20 - 2014-04-26,54,44
2014-04-27 - 2014-05-03,71,45
2014-05-04 - 2014-05-10,64,48
2014-05-11 - 2014-05-17,57,45
2014-05-18 - 2014-05-24,67,44
2014-05-25 - 2014-05-31,56,46
2014-06-01 - 2014-06-07,64,48
2014-06-08 - 2014-06-14,55,46
