Week,"rossmann",dm
2013-01-06 - 2013-01-12,35,52
2013-01-13 - 2013-01-19,28,50
2013-01-20 - 2013-01-26,31,56
2013-01-27 - 2013-02-02,29,55
2013-02-03 - 2013-02-09,33,53
2013-02-10 - 2013-02-16,30,55
2013-02-17 - 2013-02-23,34,55
2013-02-24 - 2013-03-02,29,55
2013-03-03 - 2013-03-09,31,51
2013-03-10 - 2013-03-16,29,51
2013-03-17 - 2013-03-23,36,53
2013-03-24 - 2013-03-30,33,55
2013-03-31 - 2013-04-06,32,55
2013-04-07 - 2013-04-13,33,54
2013-04-14 - 2013-04-20,28,61
2013-04-21 - 2013-04-27,35,59
2013-04-28 - 2013-05-04,32,59
2013-05-05 - 2013-05-11,33,62
2013-05-12 - 2013-05-18,34,59
2013-05-19 - 2013-05-25,31,57
2013-05-26 - 2013-06-01,37,55
2013-06-02 - 2013-06-08,32,57
2013-06-09 - 2013-06-15,32,59
2013-06-16 - 2013-06-22,38,57
2013-06-23 - 2013-06-29,33,60
2013-06-30 - 2013-07-06,38,61
2013-07-07 - 2013-07-13,33,61
2013-07-14 - 2013-07-20,40,63
2013-07-21 - 2013-07-27,34,64
2013-07-28 - 2013-08-03,42,63
2013-08-04 - 2013-08-10,36,62
2013-08-11 - 2013-08-17,40,64
2013-08-18 - 2013-08-24,36,65
2013-08-25 - 2013-08-31,42,67
2013-09-01 - 2013-09-07,33,61
2013-09-08 - 2013-09-14,38,62
2013-09-15 - 2013-09-21,30,57
2013-09-22 - 2013-09-28,35,56
2013-09-29 - 2013-10-05,29,58
2013-10-06 - 2013-10-12,36,55
2013-10-13 - 2013-10-19,33,61
2013-10-20 - 2013-10-26,37,60
2013-10-27 - 2013-11-02,34,63
2013-11-03 - 2013-11-09,38,60
2013-11-10 - 2013-11-16,32,62
2013-11-17 - 2013-11-23,39,67
2013-11-24 - 2013-11-30,37,69
2013-12-01 - 2013-12-07,41,75
2013-12-08 - 2013-12-14,42,92
2013-12-15 - 2013-12-21,52,92
2013-12-22 - 2013-12-28,36,72
2013-12-29 - 2014-01-04,37,64
2014-01-05 - 2014-01-11,40,60
2014-01-12 - 2014-01-18,31,64
2014-01-19 - 2014-01-25,37,59
2014-01-26 - 2014-02-01,34,60
2014-02-02 - 2014-02-08,40,59
2014-02-09 - 2014-02-15,34,58
2014-02-16 - 2014-02-22,41,56
2014-02-23 - 2014-03-01,32,59
2014-03-02 - 2014-03-08,41,62
2014-03-09 - 2014-03-15,33,60
2014-03-16 - 2014-03-22,40,56
2014-03-23 - 2014-03-29,33,60
2014-03-30 - 2014-04-05,38,58
2014-04-06 - 2014-04-12,32,60
2014-04-13 - 2014-04-19,41,67
2014-04-20 - 2014-04-26,34,60
2014-04-27 - 2014-05-03,45,65
2014-05-04 - 2014-05-10,42,66
2014-05-11 - 2014-05-17,35,64
2014-05-18 - 2014-05-24,43,65
2014-05-25 - 2014-05-31,35,63
2014-06-01 - 2014-06-07,43,66
2014-06-08 - 2014-06-14,34,63
2014-06-15 - 2014-06-21,43,67
2014-06-22 - 2014-06-28,36,66
2014-06-29 - 2014-07-05,46,67
2014-07-06 - 2014-07-12,40,68
2014-07-13 - 2014-07-19,46,73
2014-07-20 - 2014-07-26,40,72
2014-07-27 - 2014-08-02,49,72
2014-08-03 - 2014-08-09,46,72
2014-08-10 - 2014-08-16,42,72
2014-08-17 - 2014-08-23,47,68
2014-08-24 - 2014-08-30,36,67
2014-08-31 - 2014-09-06,44,68
2014-09-07 - 2014-09-13,36,67
2014-09-14 - 2014-09-20,42,65
2014-09-21 - 2014-09-27,33,65
2014-09-28 - 2014-10-04,44,67
2014-10-05 - 2014-10-11,43,71
2014-10-12 - 2014-10-18,38,72
2014-10-19 - 2014-10-25,42,67
2014-10-26 - 2014-11-01,37,67
2014-11-02 - 2014-11-08,43,71
2014-11-09 - 2014-11-15,42,70
2014-11-16 - 2014-11-22,40,75
2014-11-23 - 2014-11-29,50,76
2014-11-30 - 2014-12-06,49,84
