Week,"rossmann",dm
2013-01-06 - 2013-01-12,19,49
2013-01-13 - 2013-01-19,17,48
2013-01-20 - 2013-01-26,21,53
2013-01-27 - 2013-02-02,16,50
2013-02-03 - 2013-02-09,17,51
2013-02-10 - 2013-02-16,18,49
2013-02-17 - 2013-02-23,21,47
2013-02-24 - 2013-03-02,18,48
2013-03-03 - 2013-03-09,20,49
2013-03-10 - 2013-03-16,18,44
2013-03-17 - 2013-03-23,22,54
2013-03-24 - 2013-03-30,22,53
2013-03-31 - 2013-04-06,17,55
2013-04-07 - 2013-04-13,20,51
2013-04-14 - 2013-04-20,20,56
2013-04-21 - 2013-04-27,20,51
2013-04-28 - 2013-05-04,17,50
2013-05-05 - 2013-05-11,21,54
2013-05-12 - 2013-05-18,22,53
2013-05-19 - 2013-05-25,18,54
2013-05-26 - 2013-06-01,21,51
2013-06-02 - 2013-06-08,18,52
2013-06-09 - 2013-06-15,19,54
2013-06-16 - 2013-06-22,22,57
2013-06-23 - 2013-06-29,20,55
2013-06-30 - 2013-07-06,21,55
2013-07-07 - 2013-07-13,19,55
2013-07-14 - 2013-07-20,23,62
2013-07-21 - 2013-07-27,19,61
2013-07-28 - 2013-08-03,22,69
2013-08-04 - 2013-08-10,19,59
2013-08-11 - 2013-08-17,22,64
2013-08-18 - 2013-08-24,20,62
2013-08-25 - 2013-08-31,22,58
2013-09-01 - 2013-09-07,20,56
2013-09-08 - 2013-09-14,20,59
2013-09-15 - 2013-09-21,17,58
2013-09-22 - 2013-09-28,19,57
2013-09-29 - 2013-10-05,16,58
2013-10-06 - 2013-10-12,20,61
2013-10-13 - 2013-10-19,20,60
2013-10-20 - 2013-10-26,18,61
2013-10-27 - 2013-11-02,18,57
2013-11-03 - 2013-11-09,26,55
2013-11-10 - 2013-11-16,20,66
2013-11-17 - 2013-11-23,23,72
2013-11-24 - 2013-11-30,23,78
2013-12-01 - 2013-12-07,28,84
2013-12-08 - 2013-12-14,26,100
2013-12-15 - 2013-12-21,28,97
2013-12-22 - 2013-12-28,22,70
2013-12-29 - 2014-01-04,22,63
2014-01-05 - 2014-01-11,23,56
2014-01-12 - 2014-01-18,18,58
2014-01-19 - 2014-01-25,24,55
2014-01-26 - 2014-02-01,20,59
2014-02-02 - 2014-02-08,22,56
2014-02-09 - 2014-02-15,19,58
2014-02-16 - 2014-02-22,23,56
2014-02-23 - 2014-03-01,20,53
2014-03-02 - 2014-03-08,24,54
2014-03-09 - 2014-03-15,20,52
2014-03-16 - 2014-03-22,21,54
2014-03-23 - 2014-03-29,19,55
2014-03-30 - 2014-04-05,21,53
2014-04-06 - 2014-04-12,20,58
2014-04-13 - 2014-04-19,23,62
2014-04-20 - 2014-04-26,19,59
2014-04-27 - 2014-05-03,25,65
2014-05-04 - 2014-05-10,25,64
2014-05-11 - 2014-05-17,20,57
2014-05-18 - 2014-05-24,23,60
2014-05-25 - 2014-05-31,21,59
2014-06-01 - 2014-06-07,24,58
2014-06-08 - 2014-06-14,20,57
2014-06-15 - 2014-06-21,24,57
2014-06-22 - 2014-06-28,19,63
2014-06-29 - 2014-07-05,23,69
2014-07-06 - 2014-07-12,21,65
2014-07-13 - 2014-07-19,28,70
2014-07-20 - 2014-07-26,25,64
2014-07-27 - 2014-08-02,32,65
2014-08-03 - 2014-08-09,31,68
2014-08-10 - 2014-08-16,29,69
2014-08-17 - 2014-08-23,29,64
2014-08-24 - 2014-08-30,28,61
2014-08-31 - 2014-09-06,33,61
2014-09-07 - 2014-09-13,25,57
2014-09-14 - 2014-09-20,27,61
2014-09-21 - 2014-09-27,24,56
2014-09-28 - 2014-10-04,29,63
2014-10-05 - 2014-10-11,28,64
2014-10-12 - 2014-10-18,27,65
2014-10-19 - 2014-10-25,28,62
2014-10-26 - 2014-11-01,27,60
2014-11-02 - 2014-11-08,33,66
2014-11-09 - 2014-11-15,28,61
2014-11-16 - 2014-11-22,30,65
2014-11-23 - 2014-11-29,35,69
2014-11-30 - 2014-12-06,38,78
2014-12-07 - 2014-12-13,37,86
2014-12-14 - 2014-12-20,44,91
2014-12-21 - 2014-12-27,34,80
2014-12-28 - 2015-01-03,33,68
2015-01-04 - 2015-01-10,32,57
2015-01-11 - 2015-01-17,28,64
2015-01-18 - 2015-01-24,30,63
2015-01-25 - 2015-01-31,33,60
2015-02-01 - 2015-02-07,32,59
2015-02-08 - 2015-02-14,32,62
2015-02-15 - 2015-02-21,33,65
2015-02-22 - 2015-02-28,28,58
2015-03-01 - 2015-03-07,34,62
2015-03-08 - 2015-03-14,30,61
2015-03-15 - 2015-03-21,33,60
2015-03-22 - 2015-03-28,30,58
2015-03-29 - 2015-04-04,36,63
2015-04-05 - 2015-04-11,33,60
2015-04-12 - 2015-04-18,35,64
2015-04-19 - 2015-04-25,30,59
2015-04-26 - 2015-05-02,38,59
2015-05-03 - 2015-05-09,34,63
2015-05-10 - 2015-05-16,30,61
2015-05-17 - 2015-05-23,35,63
2015-05-24 - 2015-05-30,34,63
2015-05-31 - 2015-06-06,42,66
2015-06-07 - 2015-06-13,34,64
2015-06-14 - 2015-06-20,40,67
2015-06-21 - 2015-06-27,27,69
2015-06-28 - 2015-07-04,32,73
2015-07-05 - 2015-07-11,25,73
2015-07-12 - 2015-07-18,28,75
2015-07-19 - 2015-07-25,26,78
2015-07-26 - 2015-08-01,32,78
2015-08-02 - 2015-08-08,29,80
2015-08-09 - 2015-08-15,28,79
2015-08-16 - 2015-08-22,30,77
2015-08-23 - 2015-08-29,28,80
2015-08-30 - 2015-09-05,29,84
2015-09-06 - 2015-09-12,24,78
2015-09-13 - 2015-09-19,30,77
2015-09-20 - 2015-09-26,26,71
2015-09-27 - 2015-10-03,26,73
2015-10-04 - 2015-10-10,26,85
2015-10-11 - 2015-10-17,23,78
2015-10-18 - 2015-10-24,29,73
