Week,"rossmann",dm
2013-01-06 - 2013-01-12,65,32
2013-01-13 - 2013-01-19,54,32
2013-01-20 - 2013-01-26,58,31
2013-01-27 - 2013-02-02,49,24
2013-02-03 - 2013-02-09,54,26
2013-02-10 - 2013-02-16,50,29
2013-02-17 - 2013-02-23,64,28
2013-02-24 - 2013-03-02,51,25
2013-03-03 - 2013-03-09,55,29
2013-03-10 - 2013-03-16,50,24
2013-03-17 - 2013-03-23,57,30
2013-03-24 - 2013-03-30,65,33
2013-03-31 - 2013-04-06,58,26
2013-04-07 - 2013-04-13,63,33
2013-04-14 - 2013-04-20,54,30
2013-04-21 - 2013-04-27,60,34
2013-04-28 - 2013-05-04,49,28
2013-05-05 - 2013-05-11,60,31
2013-05-12 - 2013-05-18,60,28
2013-05-19 - 2013-05-25,53,26
2013-05-26 - 2013-06-01,62,27
2013-06-02 - 2013-06-08,49,29
2013-06-09 - 2013-06-15,60,28
2013-06-16 - 2013-06-22,67,25
2013-06-23 - 2013-06-29,59,29
2013-06-30 - 2013-07-06,77,30
2013-07-07 - 2013-07-13,56,32
2013-07-14 - 2013-07-20,70,33
2013-07-21 - 2013-07-27,60,36
2013-07-28 - 2013-08-03,76,30
2013-08-04 - 2013-08-10,61,30
2013-08-11 - 2013-08-17,68,31
2013-08-18 - 2013-08-24,61,32
2013-08-25 - 2013-08-31,67,33
2013-09-01 - 2013-09-07,53,31
2013-09-08 - 2013-09-14,65,33
2013-09-15 - 2013-09-21,51,29
2013-09-22 - 2013-09-28,60,30
2013-09-29 - 2013-10-05,46,32
2013-10-06 - 2013-10-12,65,26
2013-10-13 - 2013-10-19,59,30
2013-10-20 - 2013-10-26,63,31
2013-10-27 - 2013-11-02,63,28
2013-11-03 - 2013-11-09,76,29
2013-11-10 - 2013-11-16,57,31
2013-11-17 - 2013-11-23,80,32
2013-11-24 - 2013-11-30,71,31
2013-12-01 - 2013-12-07,73,33
2013-12-08 - 2013-12-14,79,39
2013-12-15 - 2013-12-21,97,40
2013-12-22 - 2013-12-28,54,34
2013-12-29 - 2014-01-04,64,32
2014-01-05 - 2014-01-11,64,30
2014-01-12 - 2014-01-18,52,35
2014-01-19 - 2014-01-25,64,31
2014-01-26 - 2014-02-01,48,33
2014-02-02 - 2014-02-08,67,31
2014-02-09 - 2014-02-15,49,31
2014-02-16 - 2014-02-22,64,33
2014-02-23 - 2014-03-01,52,29
2014-03-02 - 2014-03-08,58,30
2014-03-09 - 2014-03-15,50,31
2014-03-16 - 2014-03-22,62,30
2014-03-23 - 2014-03-29,57,31
2014-03-30 - 2014-04-05,48,33
2014-04-06 - 2014-04-12,51,35
2014-04-13 - 2014-04-19,66,37
2014-04-20 - 2014-04-26,54,32
2014-04-27 - 2014-05-03,75,42
