Week,"rossmann",dm
2013-01-06 - 2013-01-12,20,56
2013-01-13 - 2013-01-19,19,52
2013-01-20 - 2013-01-26,22,58
2013-01-27 - 2013-02-02,17,49
2013-02-03 - 2013-02-09,19,59
2013-02-10 - 2013-02-16,25,51
2013-02-17 - 2013-02-23,20,61
2013-02-24 - 2013-03-02,20,49
2013-03-03 - 2013-03-09,16,44
2013-03-10 - 2013-03-16,17,46
2013-03-17 - 2013-03-23,23,65
2013-03-24 - 2013-03-30,19,70
2013-03-31 - 2013-04-06,22,51
2013-04-07 - 2013-04-13,24,48
2013-04-14 - 2013-04-20,20,51
2013-04-21 - 2013-04-27,20,67
2013-04-28 - 2013-05-04,19,61
2013-05-05 - 2013-05-11,20,61
2013-05-12 - 2013-05-18,21,58
2013-05-19 - 2013-05-25,24,68
2013-05-26 - 2013-06-01,22,64
2013-06-02 - 2013-06-08,21,56
2013-06-09 - 2013-06-15,30,53
2013-06-16 - 2013-06-22,28,62
2013-06-23 - 2013-06-29,22,58
2013-06-30 - 2013-07-06,18,59
2013-07-07 - 2013-07-13,22,60
2013-07-14 - 2013-07-20,27,66
2013-07-21 - 2013-07-27,28,58
2013-07-28 - 2013-08-03,28,63
2013-08-04 - 2013-08-10,20,64
2013-08-11 - 2013-08-17,21,68
2013-08-18 - 2013-08-24,23,75
2013-08-25 - 2013-08-31,24,69
2013-09-01 - 2013-09-07,18,62
2013-09-08 - 2013-09-14,22,62
2013-09-15 - 2013-09-21,20,68
2013-09-22 - 2013-09-28,19,66
2013-09-29 - 2013-10-05,21,55
2013-10-06 - 2013-10-12,21,66
2013-10-13 - 2013-10-19,20,59
2013-10-20 - 2013-10-26,19,62
2013-10-27 - 2013-11-02,22,59
2013-11-03 - 2013-11-09,24,64
2013-11-10 - 2013-11-16,28,76
2013-11-17 - 2013-11-23,22,84
2013-11-24 - 2013-11-30,25,63
2013-12-01 - 2013-12-07,22,87
2013-12-08 - 2013-12-14,22,98
2013-12-15 - 2013-12-21,29,100
2013-12-22 - 2013-12-28,24,61
2013-12-29 - 2014-01-04,20,63
2014-01-05 - 2014-01-11,23,63
2014-01-12 - 2014-01-18,24,68
2014-01-19 - 2014-01-25,22,68
2014-01-26 - 2014-02-01,17,60
2014-02-02 - 2014-02-08,22,66
2014-02-09 - 2014-02-15,19,58
2014-02-16 - 2014-02-22,18,62
2014-02-23 - 2014-03-01,16,67
2014-03-02 - 2014-03-08,23,50
2014-03-09 - 2014-03-15,22,50
2014-03-16 - 2014-03-22,16,56
2014-03-23 - 2014-03-29,23,55
2014-03-30 - 2014-04-05,17,62
2014-04-06 - 2014-04-12,20,60
2014-04-13 - 2014-04-19,24,66
2014-04-20 - 2014-04-26,22,56
2014-04-27 - 2014-05-03,39,72
2014-05-04 - 2014-05-10,24,74
2014-05-11 - 2014-05-17,26,59
2014-05-18 - 2014-05-24,27,63
2014-05-25 - 2014-05-31,20,55
2014-06-01 - 2014-06-07,21,65
2014-06-08 - 2014-06-14,22,58
2014-06-15 - 2014-06-21,27,55
2014-06-22 - 2014-06-28,23,62
2014-06-29 - 2014-07-05,27,62
2014-07-06 - 2014-07-12,25,71
2014-07-13 - 2014-07-19,26,75
