Week,"rossmann",dm
2013-01-06 - 2013-01-12,66,51
2013-01-13 - 2013-01-19,57,49
2013-01-20 - 2013-01-26,58,56
2013-01-27 - 2013-02-02,53,50
2013-02-03 - 2013-02-09,57,50
2013-02-10 - 2013-02-16,48,54
2013-02-17 - 2013-02-23,63,48
2013-02-24 - 2013-03-02,49,53
2013-03-03 - 2013-03-09,58,46
2013-03-10 - 2013-03-16,54,50
2013-03-17 - 2013-03-23,64,55
2013-03-24 - 2013-03-30,60,57
2013-03-31 - 2013-04-06,51,54
2013-04-07 - 2013-04-13,61,51
2013-04-14 - 2013-04-20,48,59
2013-04-21 - 2013-04-27,61,57
2013-04-28 - 2013-05-04,47,53
2013-05-05 - 2013-05-11,56,54
2013-05-12 - 2013-05-18,58,49
2013-05-19 - 2013-05-25,55,51
2013-05-26 - 2013-06-01,67,55
2013-06-02 - 2013-06-08,45,43
2013-06-09 - 2013-06-15,53,51
2013-06-16 - 2013-06-22,62,52
2013-06-23 - 2013-06-29,58,57
2013-06-30 - 2013-07-06,66,53
2013-07-07 - 2013-07-13,56,53
2013-07-14 - 2013-07-20,73,64
2013-07-21 - 2013-07-27,65,62
2013-07-28 - 2013-08-03,77,61
2013-08-04 - 2013-08-10,66,63
2013-08-11 - 2013-08-17,71,60
2013-08-18 - 2013-08-24,60,58
2013-08-25 - 2013-08-31,68,62
2013-09-01 - 2013-09-07,69,58
2013-09-08 - 2013-09-14,63,59
2013-09-15 - 2013-09-21,51,54
2013-09-22 - 2013-09-28,64,53
2013-09-29 - 2013-10-05,55,50
2013-10-06 - 2013-10-12,70,54
2013-10-13 - 2013-10-19,57,52
2013-10-20 - 2013-10-26,64,56
2013-10-27 - 2013-11-02,61,53
2013-11-03 - 2013-11-09,70,62
2013-11-10 - 2013-11-16,63,60
2013-11-17 - 2013-11-23,79,69
2013-11-24 - 2013-11-30,61,69
2013-12-01 - 2013-12-07,75,77
2013-12-08 - 2013-12-14,85,96
2013-12-15 - 2013-12-21,100,95
2013-12-22 - 2013-12-28,62,62
2013-12-29 - 2014-01-04,63,61
2014-01-05 - 2014-01-11,71,56
2014-01-12 - 2014-01-18,56,56
2014-01-19 - 2014-01-25,65,52
2014-01-26 - 2014-02-01,56,51
2014-02-02 - 2014-02-08,67,49
2014-02-09 - 2014-02-15,57,54
2014-02-16 - 2014-02-22,69,55
2014-02-23 - 2014-03-01,57,55
2014-03-02 - 2014-03-08,64,53
2014-03-09 - 2014-03-15,53,51
2014-03-16 - 2014-03-22,63,50
2014-03-23 - 2014-03-29,54,53
2014-03-30 - 2014-04-05,62,54
2014-04-06 - 2014-04-12,56,54
2014-04-13 - 2014-04-19,64,63
2014-04-20 - 2014-04-26,52,59
2014-04-27 - 2014-05-03,74,63
2014-05-04 - 2014-05-10,66,58
2014-05-11 - 2014-05-17,57,58
2014-05-18 - 2014-05-24,69,54
2014-05-25 - 2014-05-31,59,57
2014-06-01 - 2014-06-07,68,53
2014-06-08 - 2014-06-14,59,58
2014-06-15 - 2014-06-21,70,55
2014-06-22 - 2014-06-28,62,64
2014-06-29 - 2014-07-05,72,66
2014-07-06 - 2014-07-12,65,60
2014-07-13 - 2014-07-19,67,66
2014-07-20 - 2014-07-26,64,66
2014-07-27 - 2014-08-02,78,68
2014-08-03 - 2014-08-09,79,67
2014-08-10 - 2014-08-16,72,67
2014-08-17 - 2014-08-23,78,65
2014-08-24 - 2014-08-30,60,62
2014-08-31 - 2014-09-06,68,65
2014-09-07 - 2014-09-13,59,60
2014-09-14 - 2014-09-20,65,60
2014-09-21 - 2014-09-27,54,58
2014-09-28 - 2014-10-04,65,64
2014-10-05 - 2014-10-11,68,61
2014-10-12 - 2014-10-18,55,71
2014-10-19 - 2014-10-25,66,65
2014-10-26 - 2014-11-01,60,61
2014-11-02 - 2014-11-08,67,67
2014-11-09 - 2014-11-15,66,64
2014-11-16 - 2014-11-22,64,70
2014-11-23 - 2014-11-29,84,73
2014-11-30 - 2014-12-06,90,83
2014-12-07 - 2014-12-13,92,94
2014-12-14 - 2014-12-20,94,93
2014-12-21 - 2014-12-27,79,73
2014-12-28 - 2015-01-03,65,64
2015-01-04 - 2015-01-10,65,63
2015-01-11 - 2015-01-17,55,60
2015-01-18 - 2015-01-24,57,60
2015-01-25 - 2015-01-31,59,60
2015-02-01 - 2015-02-07,60,63
2015-02-08 - 2015-02-14,60,66
2015-02-15 - 2015-02-21,65,64
2015-02-22 - 2015-02-28,56,60
2015-03-01 - 2015-03-07,64,68
2015-03-08 - 2015-03-14,62,61
2015-03-15 - 2015-03-21,64,60
2015-03-22 - 2015-03-28,53,60
2015-03-29 - 2015-04-04,68,60
2015-04-05 - 2015-04-11,58,61
2015-04-12 - 2015-04-18,63,62
2015-04-19 - 2015-04-25,53,60
2015-04-26 - 2015-05-02,68,62
2015-05-03 - 2015-05-09,68,70
2015-05-10 - 2015-05-16,59,63
2015-05-17 - 2015-05-23,64,63
2015-05-24 - 2015-05-30,58,65
2015-05-31 - 2015-06-06,66,68
2015-06-07 - 2015-06-13,62,63
2015-06-14 - 2015-06-20,70,66
2015-06-21 - 2015-06-27,62,69
2015-06-28 - 2015-07-04,79,75
2015-07-05 - 2015-07-11,71,67
2015-07-12 - 2015-07-18,90,80
2015-07-19 - 2015-07-25,74,77
2015-07-26 - 2015-08-01,79,81
2015-08-02 - 2015-08-08,76,68
2015-08-09 - 2015-08-15,75,70
2015-08-16 - 2015-08-22,81,73
2015-08-23 - 2015-08-29,65,77
2015-08-30 - 2015-09-05,80,74
2015-09-06 - 2015-09-12,71,69
2015-09-13 - 2015-09-19,81,70
2015-09-20 - 2015-09-26,67,70
2015-09-27 - 2015-10-03,68,68
2015-10-04 - 2015-10-10,72,72
2015-10-11 - 2015-10-17,64,71
2015-10-18 - 2015-10-24,90,79
