Week,"rossmann",dm
2013-01-06 - 2013-01-12,77,39
2013-01-13 - 2013-01-19,60,37
2013-01-20 - 2013-01-26,78,37
2013-01-27 - 2013-02-02,62,40
2013-02-03 - 2013-02-09,70,42
2013-02-10 - 2013-02-16,56,36
2013-02-17 - 2013-02-23,73,37
2013-02-24 - 2013-03-02,62,43
2013-03-03 - 2013-03-09,57,39
2013-03-10 - 2013-03-16,54,41
2013-03-17 - 2013-03-23,67,40
2013-03-24 - 2013-03-30,65,41
2013-03-31 - 2013-04-06,65,46
2013-04-07 - 2013-04-13,68,44
2013-04-14 - 2013-04-20,53,48
2013-04-21 - 2013-04-27,67,43
2013-04-28 - 2013-05-04,52,39
2013-05-05 - 2013-05-11,58,38
2013-05-12 - 2013-05-18,71,42
2013-05-19 - 2013-05-25,58,40
2013-05-26 - 2013-06-01,74,38
2013-06-02 - 2013-06-08,47,28
2013-06-09 - 2013-06-15,52,37
2013-06-16 - 2013-06-22,77,41
2013-06-23 - 2013-06-29,63,38
2013-06-30 - 2013-07-06,68,53
2013-07-07 - 2013-07-13,64,41
2013-07-14 - 2013-07-20,78,43
2013-07-21 - 2013-07-27,62,35
2013-07-28 - 2013-08-03,75,49
2013-08-04 - 2013-08-10,73,43
2013-08-11 - 2013-08-17,84,44
2013-08-18 - 2013-08-24,72,52
2013-08-25 - 2013-08-31,84,49
2013-09-01 - 2013-09-07,62,44
2013-09-08 - 2013-09-14,79,43
2013-09-15 - 2013-09-21,51,34
2013-09-22 - 2013-09-28,76,45
2013-09-29 - 2013-10-05,60,43
2013-10-06 - 2013-10-12,70,46
2013-10-13 - 2013-10-19,62,47
2013-10-20 - 2013-10-26,71,51
2013-10-27 - 2013-11-02,63,40
2013-11-03 - 2013-11-09,75,41
2013-11-10 - 2013-11-16,75,42
2013-11-17 - 2013-11-23,93,54
2013-11-24 - 2013-11-30,71,51
2013-12-01 - 2013-12-07,90,56
2013-12-08 - 2013-12-14,87,76
2013-12-15 - 2013-12-21,91,60
2013-12-22 - 2013-12-28,56,45
2013-12-29 - 2014-01-04,57,41
2014-01-05 - 2014-01-11,58,41
2014-01-12 - 2014-01-18,52,50
2014-01-19 - 2014-01-25,64,42
2014-01-26 - 2014-02-01,59,36
2014-02-02 - 2014-02-08,71,48
2014-02-09 - 2014-02-15,63,39
2014-02-16 - 2014-02-22,67,35
2014-02-23 - 2014-03-01,53,39
2014-03-02 - 2014-03-08,64,39
2014-03-09 - 2014-03-15,52,38
2014-03-16 - 2014-03-22,69,40
2014-03-23 - 2014-03-29,61,42
2014-03-30 - 2014-04-05,57,42
2014-04-06 - 2014-04-12,49,45
2014-04-13 - 2014-04-19,65,46
2014-04-20 - 2014-04-26,51,37
2014-04-27 - 2014-05-03,70,35
2014-05-04 - 2014-05-10,62,49
2014-05-11 - 2014-05-17,50,40
2014-05-18 - 2014-05-24,69,42
2014-05-25 - 2014-05-31,61,51
2014-06-01 - 2014-06-07,73,43
2014-06-08 - 2014-06-14,53,43
2014-06-15 - 2014-06-21,67,44
2014-06-22 - 2014-06-28,55,48
2014-06-29 - 2014-07-05,73,44
2014-07-06 - 2014-07-12,63,41
2014-07-13 - 2014-07-19,76,49
2014-07-20 - 2014-07-26,63,53
2014-07-27 - 2014-08-02,87,58
2014-08-03 - 2014-08-09,76,58
2014-08-10 - 2014-08-16,67,54
2014-08-17 - 2014-08-23,82,54
2014-08-24 - 2014-08-30,69,52
2014-08-31 - 2014-09-06,86,54
2014-09-07 - 2014-09-13,54,50
2014-09-14 - 2014-09-20,70,50
2014-09-21 - 2014-09-27,59,40
2014-09-28 - 2014-10-04,68,48
2014-10-05 - 2014-10-11,61,53
2014-10-12 - 2014-10-18,62,49
2014-10-19 - 2014-10-25,68,45
2014-10-26 - 2014-11-01,69,49
2014-11-02 - 2014-11-08,70,53
2014-11-09 - 2014-11-15,75,44
2014-11-16 - 2014-11-22,76,56
2014-11-23 - 2014-11-29,81,54
2014-11-30 - 2014-12-06,90,55
2014-12-07 - 2014-12-13,83,65
2014-12-14 - 2014-12-20,100,69
2014-12-21 - 2014-12-27,62,46
2014-12-28 - 2015-01-03,57,53
2015-01-04 - 2015-01-10,63,46
2015-01-11 - 2015-01-17,56,50
2015-01-18 - 2015-01-24,56,44
2015-01-25 - 2015-01-31,70,56
2015-02-01 - 2015-02-07,69,51
2015-02-08 - 2015-02-14,64,53
2015-02-15 - 2015-02-21,60,46
2015-02-22 - 2015-02-28,65,44
2015-03-01 - 2015-03-07,72,55
2015-03-08 - 2015-03-14,65,52
2015-03-15 - 2015-03-21,72,46
2015-03-22 - 2015-03-28,57,48
2015-03-29 - 2015-04-04,61,42
2015-04-05 - 2015-04-11,56,46
2015-04-12 - 2015-04-18,66,57
2015-04-19 - 2015-04-25,46,52
2015-04-26 - 2015-05-02,68,48
2015-05-03 - 2015-05-09,61,51
2015-05-10 - 2015-05-16,50,46
2015-05-17 - 2015-05-23,64,45
2015-05-24 - 2015-05-30,64,57
2015-05-31 - 2015-06-06,71,51
2015-06-07 - 2015-06-13,67,52
2015-06-14 - 2015-06-20,84,55
2015-06-21 - 2015-06-27,66,52
2015-06-28 - 2015-07-04,84,51
2015-07-05 - 2015-07-11,70,57
2015-07-12 - 2015-07-18,87,58
2015-07-19 - 2015-07-25,82,64
2015-07-26 - 2015-08-01,80,56
2015-08-02 - 2015-08-08,84,60
2015-08-09 - 2015-08-15,77,59
2015-08-16 - 2015-08-22,87,55
2015-08-23 - 2015-08-29,73,55
2015-08-30 - 2015-09-05,85,59
2015-09-06 - 2015-09-12,81,60
2015-09-13 - 2015-09-19,82,54
2015-09-20 - 2015-09-26,69,50
2015-09-27 - 2015-10-03,63,57
2015-10-04 - 2015-10-10,73,57
2015-10-11 - 2015-10-17,69,59
2015-10-18 - 2015-10-24,91,57


