Week,"rossmann",dm
2013-01-06 - 2013-01-12,44,48
2013-01-13 - 2013-01-19,36,43
2013-01-20 - 2013-01-26,40,49
2013-01-27 - 2013-02-02,37,50
2013-02-03 - 2013-02-09,36,39
2013-02-10 - 2013-02-16,31,45
2013-02-17 - 2013-02-23,39,43
2013-02-24 - 2013-03-02,35,46
2013-03-03 - 2013-03-09,29,40
2013-03-10 - 2013-03-16,35,47
2013-03-17 - 2013-03-23,41,56
2013-03-24 - 2013-03-30,38,44
2013-03-31 - 2013-04-06,40,47
2013-04-07 - 2013-04-13,47,47
2013-04-14 - 2013-04-20,34,51
2013-04-21 - 2013-04-27,47,49
2013-04-28 - 2013-05-04,38,53
2013-05-05 - 2013-05-11,39,53
2013-05-12 - 2013-05-18,46,47
2013-05-19 - 2013-05-25,42,48
2013-05-26 - 2013-06-01,47,54
2013-06-02 - 2013-06-08,43,42
2013-06-09 - 2013-06-15,37,48
2013-06-16 - 2013-06-22,50,46
2013-06-23 - 2013-06-29,44,56
2013-06-30 - 2013-07-06,54,55
2013-07-07 - 2013-07-13,37,49
2013-07-14 - 2013-07-20,47,50
2013-07-21 - 2013-07-27,51,64
2013-07-28 - 2013-08-03,58,56
2013-08-04 - 2013-08-10,48,54
2013-08-11 - 2013-08-17,49,57
2013-08-18 - 2013-08-24,52,67
2013-08-25 - 2013-08-31,53,59
2013-09-01 - 2013-09-07,44,45
2013-09-08 - 2013-09-14,47,47
2013-09-15 - 2013-09-21,40,48
2013-09-22 - 2013-09-28,51,54
2013-09-29 - 2013-10-05,41,45
2013-10-06 - 2013-10-12,48,49
2013-10-13 - 2013-10-19,36,55
2013-10-20 - 2013-10-26,54,55
2013-10-27 - 2013-11-02,44,59
2013-11-03 - 2013-11-09,48,56
2013-11-10 - 2013-11-16,45,57
2013-11-17 - 2013-11-23,55,57
2013-11-24 - 2013-11-30,53,61
2013-12-01 - 2013-12-07,62,75
2013-12-08 - 2013-12-14,68,100
2013-12-15 - 2013-12-21,74,82
2013-12-22 - 2013-12-28,40,49
2013-12-29 - 2014-01-04,52,54
2014-01-05 - 2014-01-11,51,43
2014-01-12 - 2014-01-18,36,45
2014-01-19 - 2014-01-25,47,52
2014-01-26 - 2014-02-01,37,46
2014-02-02 - 2014-02-08,50,51
2014-02-09 - 2014-02-15,42,47
2014-02-16 - 2014-02-22,53,46
2014-02-23 - 2014-03-01,36,40
2014-03-02 - 2014-03-08,44,46
2014-03-09 - 2014-03-15,41,47
2014-03-16 - 2014-03-22,53,44
2014-03-23 - 2014-03-29,42,53
2014-03-30 - 2014-04-05,46,45
2014-04-06 - 2014-04-12,46,56
2014-04-13 - 2014-04-19,42,57
2014-04-20 - 2014-04-26,37,44
2014-04-27 - 2014-05-03,43,50
2014-05-04 - 2014-05-10,51,56
2014-05-11 - 2014-05-17,49,55
2014-05-18 - 2014-05-24,58,49
2014-05-25 - 2014-05-31,39,45
2014-06-01 - 2014-06-07,47,49
2014-06-08 - 2014-06-14,42,41
2014-06-15 - 2014-06-21,51,50
2014-06-22 - 2014-06-28,50,52
2014-06-29 - 2014-07-05,61,58
2014-07-06 - 2014-07-12,38,61
2014-07-13 - 2014-07-19,56,61
2014-07-20 - 2014-07-26,50,70
2014-07-27 - 2014-08-02,56,66
2014-08-03 - 2014-08-09,52,60
2014-08-10 - 2014-08-16,47,61
2014-08-17 - 2014-08-23,54,66
2014-08-24 - 2014-08-30,45,53
2014-08-31 - 2014-09-06,52,58
2014-09-07 - 2014-09-13,47,66
2014-09-14 - 2014-09-20,48,58
2014-09-21 - 2014-09-27,44,58
2014-09-28 - 2014-10-04,50,53
2014-10-05 - 2014-10-11,43,56
2014-10-12 - 2014-10-18,43,63
2014-10-19 - 2014-10-25,45,56
2014-10-26 - 2014-11-01,40,59
2014-11-02 - 2014-11-08,54,59
2014-11-09 - 2014-11-15,49,63
2014-11-16 - 2014-11-22,55,68
2014-11-23 - 2014-11-29,61,68
2014-11-30 - 2014-12-06,70,73
2014-12-07 - 2014-12-13,65,88
2014-12-14 - 2014-12-20,75,88
2014-12-21 - 2014-12-27,47,71
2014-12-28 - 2015-01-03,51,58
2015-01-04 - 2015-01-10,47,57
2015-01-11 - 2015-01-17,50,52
2015-01-18 - 2015-01-24,40,59
2015-01-25 - 2015-01-31,50,57
2015-02-01 - 2015-02-07,50,56
2015-02-08 - 2015-02-14,42,60
2015-02-15 - 2015-02-21,45,50
2015-02-22 - 2015-02-28,42,52
2015-03-01 - 2015-03-07,50,60
2015-03-08 - 2015-03-14,43,55
2015-03-15 - 2015-03-21,51,57
2015-03-22 - 2015-03-28,44,60
2015-03-29 - 2015-04-04,46,56
2015-04-05 - 2015-04-11,48,51
2015-04-12 - 2015-04-18,50,60
2015-04-19 - 2015-04-25,40,58
2015-04-26 - 2015-05-02,57,60
2015-05-03 - 2015-05-09,47,62
2015-05-10 - 2015-05-16,41,57
2015-05-17 - 2015-05-23,48,60
2015-05-24 - 2015-05-30,42,59
2015-05-31 - 2015-06-06,42,57
2015-06-07 - 2015-06-13,42,71
2015-06-14 - 2015-06-20,54,63
2015-06-21 - 2015-06-27,49,65
2015-06-28 - 2015-07-04,59,67
2015-07-05 - 2015-07-11,52,62
2015-07-12 - 2015-07-18,61,61
2015-07-19 - 2015-07-25,56,68
2015-07-26 - 2015-08-01,60,64
2015-08-02 - 2015-08-08,59,66
2015-08-09 - 2015-08-15,55,71
2015-08-16 - 2015-08-22,55,72
2015-08-23 - 2015-08-29,57,64
2015-08-30 - 2015-09-05,60,66
2015-09-06 - 2015-09-12,49,63
2015-09-13 - 2015-09-19,70,69
2015-09-20 - 2015-09-26,53,64
2015-09-27 - 2015-10-03,56,54
2015-10-04 - 2015-10-10,63,73
2015-10-11 - 2015-10-17,59,75
2015-10-18 - 2015-10-24,63,72
